サークル名,作品ID,作品名,単価,卸金額,販売数,販売金額合計,卸金額合計,期間(From),期間(to)
CAPURI,703666,"ガチムチ刑務所 ―囚人×看守のメス堕ちSEX獄中記―",1300,990,1,1300,990,2026-04-01,2026-04-19
CAPURI,703951,メスイキするまで催眠マッサージしてもいいですか？,1300,990,13,16900,12870,2026-04-01,2026-04-19
CAPURI,706035,凌辱メス堕ち幽霊屋敷ー終わらない、淫霊たちの連続中出しセックスー,1300,990,5,6500,4950,2026-04-01,2026-04-19
CAPURI,706046,孕むまで犯していいですか？～ヤンデレ保育士の手錠拘束プロポーズ～,1300,990,7,9100,6930,2026-04-01,2026-04-19
CAPURI,709353,鬼神さまに注がれて-生贄の愛されセックスは孕まされても終わらない-,1800,1430,13,23400,18590,2026-04-01,2026-04-19
CAPURI,709381,"ぽぽぽ 八尺様に攫われた夜",1300,990,3,3900,2970,2026-04-01,2026-04-19
CAPURI,713959,エッチな心の声がダダ漏れ中！？～クールな幼馴染は俺のメスイキで頭いっぱい～,1300,990,8,10400,7920,2026-04-01,2026-04-19
CAPURI,719775,媚薬ロッカーに閉じ込められたので先生のケツマンコ犯しちゃいますね（はーと）,1800,1430,5,9000,7150,2026-04-01,2026-04-19
CAPURI,720110,王子のボクがオークなんかに堕とされるワケない！～強制種付けで無理やりお嫁さんにされちゃった～,1300,990,2,2600,1980,2026-04-01,2026-04-19
CAPURI,721239,大人のおもちゃでお仕置きドッキリ！～イケメン俳優、生放送でハメられました～,1800,1430,24,43200,34320,2026-04-01,2026-04-19
CAPURI,725106,メスイキしないと出られない部屋で両片思い（（はーと））男子が××しちゃう話,1800,1430,8,14400,11440,2026-04-01,2026-04-19
CAPURI,726630,鬼畜執事のドS射精管理―そのだらしないおちんぽ、躾けて差し上げます―,1800,1430,5,9000,7150,2026-04-01,2026-04-19
CAPURI,730670,家庭教師はどすけべエッチなメスお兄さん！～生意気ショタが先生のエロ穴けつまんこでヘコヘコしちゃったなつやすみ～,1300,990,3,3900,2970,2026-04-01,2026-04-19
CAPURI,730750,怪盗アナルセーヌ～今宵、あなたのアナル処女を頂戴いたします～,1300,990,4,5200,3960,2026-04-01,2026-04-19
CAPURI,731614,"壊されたいほど愛してる ～共依存な僕らの緊縛狂愛セックス～",1300,990,5,6500,4950,2026-04-01,2026-04-19
CAPURI,733108,ビッチサキュバス♂陥落～イケメンおにーさんのくそでかちんぽで連続絶頂！もうお腹いっぱい…～,1300,990,4,5200,3960,2026-04-01,2026-04-19
CAPURI,735087,メスイキするまで催眠マッサージしてもいいですか？2～矢上と南編～,1300,990,15,19500,14850,2026-04-01,2026-04-19
CAPURI,735159,淫習村～触手神に嫁いだら孕むまで媚薬聖液を注がれて～,1800,1430,11,19800,15730,2026-04-01,2026-04-19
CAPURI,738475,"今夜は君の血を吸いたい ～イケメン吸血鬼に咬まれて吸われて...とろける催淫絶頂セックス～",1300,990,2,2600,1980,2026-04-01,2026-04-19
CAPURI,739349,"アパートの部屋の壁に穴が空いていたら ～覗き見から始まるエッチな関係～",1300,990,7,9100,6930,2026-04-01,2026-04-19
CAPURI,739400,魔法少年の囚われ触手堕ち,1500,1100,4,6000,4400,2026-04-01,2026-04-19
CAPURI,743756,気高き騎士が激イキ触手責めから挿入懇願で快楽堕ちした結果...,1300,990,4,5200,3960,2026-04-01,2026-04-19
CAPURI,743762,透明彼氏の痴漢ドッキリ～オフィスで中出し羞恥エッチ～,1300,990,5,6500,4950,2026-04-01,2026-04-19
CAPURI,749711,誘発剤で強制発情させられたΩのマフィアが、裏切り者に屈辱の拘束監禁レイプでイカされた結果...,1300,990,14,18200,13860,2026-04-01,2026-04-19
CAPURI,751094,堕ちた元No1ホストが見下していた後輩ホストに手錠で縛られ開脚調教されたらプライド崩壊でメス堕ちした結果...,1300,990,11,14300,10890,2026-04-01,2026-04-19
